perfil;codigo;categoria;escopo;apps;permissoes;atribuido_por;disponivel_no_cadastro
Professor;PROFESSOR;Educação;PROFESSOR;Educação (ver), Avaliações (operar, ver);avaliacoes.manage, avaliacoes.view, educacao.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Professor (Educação);EDU_PROF;Educação;PROFESSOR;Educação (ver), Avaliações (operar, ver);avaliacoes.manage, avaliacoes.view, educacao.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Secretaria Escolar;EDU_SECRETARIA;Educação;UNIDADE;Educação (operar, ver), Comunicação (ver);comunicacao.view, educacao.manage, educacao.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Secretário de Educação;EDU_SECRETARIO;Educação;SECRETARIA;Organização (ver), Educação (operar, ver), Avaliações (ver), NEE (ver), Comunicação (enviar, ver), Painéis BI (ver), Relatórios (ver);avaliacoes.view, comunicacao.send, comunicacao.view, educacao.manage, educacao.view, nee.view, org.view, paineis.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Transporte Escolar;EDU_TRANSPORTE;Educação;UNIDADE;Educação (ver);educacao.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Técnico NEE;NEE;Educação;NEE;Contas e Acessos (manage users, ver), NEE (operar, ver), Saúde (ver), Financeiro (ver), Processos (ver), Painéis BI (ver), Relatórios (ver);accounts.manage_users, accounts.view, financeiro.view, nee.manage, nee.view, paineis.view, processos.view, reports.view, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
ACS;SAU_ACS;Saúde;UNIDADE;Saúde (ver);saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Coordenador de Saúde;SAU_COORD;Saúde;UNIDADE;Saúde (operar, ver), Comunicação (enviar, ver);comunicacao.send, comunicacao.view, saude.manage, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
Diretor de Unidade de Saúde;SAU_DIRETOR;Saúde;UNIDADE;Saúde (operar, ver), Comunicação (enviar, ver), Relatórios (ver);comunicacao.send, comunicacao.view, reports.view, saude.manage, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
Enfermeiro;SAU_ENFERMEIRO;Saúde;UNIDADE;Saúde (operar, ver);saude.manage, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Farmácia;SAU_FARMACIA;Saúde;UNIDADE;Saúde (ver);saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Médico;SAU_MEDICO;Saúde;UNIDADE;Saúde (operar, ver);saude.manage, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
